This word: the , Occurs 24 times
This word: of , Occurs 23 times
This word: a , Occurs 16 times
This word: to , Occurs 15 times
This word: and , Occurs 12 times
This word: in , Occurs 9 times
This word: it , Occurs 9 times
This word: on , Occurs 6 times
This word: or , Occurs 6 times
This word: for , Occurs 6 times
This word: text , Occurs 5 times
This word: that , Occurs 4 times
This word: with , Occurs 4 times
This word: from , Occurs 4 times
This word: an , Occurs 4 times
This word: said , Occurs 4 times
This word: who , Occurs 4 times
This word: was , Occurs 4 times
This word: are , Occurs 4 times
This word: their , Occurs 3 times
This word: be , Occurs 3 times
This word: Americans , Occurs 3 times
This word: Monday , Occurs 3 times
This word: block , Occurs 3 times
This word: at , Occurs 3 times
This word: were , Occurs 3 times
This word: by , Occurs 3 times
This word: no , Occurs 3 times
This word: words , Occurs 3 times
This word: even , Occurs 3 times
This word: have , Occurs 3 times
This word: some , Occurs 3 times
This word: about , Occurs 2 times
This word: confronted , Occurs 2 times
This word: print , Occurs 2 times
This word: what , Occurs 2 times
This word: them , Occurs 2 times
This word: millions , Occurs 2 times
This word: one , Occurs 2 times
This word: English , Occurs 2 times
This word: me , Occurs 2 times
This word: its , Occurs 2 times
This word: resident , Occurs 2 times
This word: Thomson , Occurs 2 times
This word: afternoon , Occurs 2 times
This word: parts , Occurs 2 times
This word: article , Occurs 2 times
This word: as , Occurs 2 times
This word: local , Occurs 2 times
This word: my , Occurs 2 times
This word: large , Occurs 2 times
This word: anything , Occurs 2 times
This word: does , Occurs 2 times
This word: sections , Occurs 2 times
This word: important , Occurs 2 times
This word: news , Occurs 2 times
This word: sure , Occurs 2 times
This word: Landsman , Occurs 2 times
This word: WASHINGTON , Occurs 1 times
This word: Unable , Occurs 1 times
This word: rest , Occurs 1 times
This word: eyes , Occurs 1 times
This word: colorful , Occurs 1 times
This word: photograph , Occurs 1 times
This word: boldface , Occurs 1 times
This word: heading , Occurs 1 times
This word: could , Occurs 1 times
This word: easily , Occurs 1 times
This word: skimmed , Occurs 1 times
This word: forgotten , Occurs 1 times
This word: collectively , Occurs 1 times
This word: recoiled , Occurs 1 times
This word: when , Occurs 1 times
This word: solid , Occurs 1 times
This word: uninterrupted , Occurs 1 times
This word: textDumbfounded , Occurs 1 times
This word: citizens , Occurs 1 times
This word: Maine , Occurs 1 times
This word: California , Occurs 1 times
This word: gazed , Occurs 1 times
This word: helplessly , Occurs 1 times
